Date,Team,Acquired,Relinquished,Notes
2010-10-27,Bucks,,Luc Mbah a Moute,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Bucks,,Michael Redd,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Bulls,,Carlos Boozer,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Cavaliers,,Christian Eyenga,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Cavaliers,,Mo Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Cavaliers,,Samardo Samuels,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Clippers,,Craig Smith,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Clippers,,Willie Warren,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Grizzlies,,Greivis Vasquez,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Grizzlies,,Marc Gasol,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Hawks,,Etan Thomas,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Hawks,,Pape Sy,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Heat,,Jamaal Magloire,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Heat,Jerry Stackhouse,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Hornets,,Aaron Gray,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Hornets,,Joe Alexander,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Hornets,,Quincy Pondexter,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Jazz,,Mehmet Okur,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Kings,,Antoine Wright,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Kings,,Samuel Dalembert,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Knicks,,Anthony Randolph,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Knicks,,Eddy Curry,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Knicks,,Kelenna Azubuike,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Mavericks,,Alex Ajinca,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Mavericks,,Rodrigue Beaubois,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Mavericks,,Steve Novak,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Nets,,Ben Uzoh,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Nets,,Quinton Ross,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Nets,,Troy Murphy,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Nuggets,,Chris Andersen,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Nuggets,,Kenyon Martin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Pacers,,A.J. Price,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Pacers,,Dahntay Jones,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Pacers,,Lance Stephenson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Pistons,,Chris Wilcox,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Pistons,,Jonas Jerebko,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Pistons,,Terrico White,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Raptors,,Ed Davis ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Raptors,,Marcus Banks,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Raptors,,Solomon Alabi,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Rockets,,Yao Ming,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Rockets,Jermaine Taylor,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Spurs,,Alonzo Gee,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Spurs,,Tiago Splitter,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Thunder,,B.J. Mullens,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Thunder,,Morris Peterson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Thunder,,Nick Collison,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Timberwolves,,Jonny Flynn,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Timberwolves,,Martell Webster,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Timberwolves,,Maurice Ager,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Warriors,,Ekpe Udoh,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Warriors,,Jeremy Lin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Warriors,,Lou Amundson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-28,Grizzlies,,Zach Randolph,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-28,Hawks,,Maurice Evans,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-28,Magic,,Daniel Orton,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-28,Magic,,Malik Allen,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-28,Spurs,,Matt Bonner,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-28,Wizards,,Gilbert Arenas,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-28,Wizards,,Josh Howard,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-28,Wizards,,Kevin Seraphin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Cavaliers,Samardo Samuels,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Celtics,,Jermaine O'Neal,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Celtics,Luke Harangody,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Grizzlies,,Zach Randolph,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Grizzlies,Marc Gasol,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Hawks,,Maurice Evans,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Hawks,Etan Thomas,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Heat,,Juwan Howard,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Heat,Jamaal Magloire,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Heat,Mario Chalmers,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Kings,,Pooh Jeter,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Kings,,Hassan Whiteside,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Kings,Antoine Wright,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Kings,Samuel Dalembert,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Pistons,,Will Bynum,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Raptors,,Joey Dorsey,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Raptors,Marcus Banks,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Warriors,,Jeff Adrien,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-29,Warriors,Jeremy Lin,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Cavaliers,,Samardo Samuels,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Grizzlies,,Xavier Henry,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Grizzlies,Greivis Vasquez,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Pacers,,Jeff Foster,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Pacers,Dahntay Jones,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Pistons,,Will Bynum,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Rockets,,Ish Smith,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Rockets,Kyle Lowry,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Rockets,Yao Ming,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Spurs,,Matt Bonner,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Spurs,Alonzo Gee,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-30,Wizards,Kevin Seraphin,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-31,Clippers,,Randy Foye,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-31,Clippers,Craig Smith,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-31,Warriors,,Stephen Curry,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-31,Warriors,Jeff Adrien,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-01,Clippers,,Baron Davis,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-01,Clippers,Willie Warren,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-01,Raptors,,Marcus Banks,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-01,Raptors,Joey Dorsey,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-01,Spurs,,Alonzo Gee,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-01,Spurs,Tiago Splitter,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Blazers,,Patty Mills,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Blazers,Elliot Williams,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Cavaliers,,Antawn Jamison,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Cavaliers,Mo Williams,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Celtics,,Shaquille O'Neal,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Celtics,Jermaine O'Neal,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Grizzlies,,Greivis Vasquez,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Grizzlies,Xavier Henry,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Heat,,Jamaal Magloire,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Heat,Juwan Howard,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Pistons,,Richard Hamilton,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-02,Pistons,,Will Bynum,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Grizzlies,,DeMarre Carroll,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Grizzlies,Greivis Vasquez,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Hawks,,Jamal Crawford,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Hornets,,Peja Stojakovic,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Hornets,Quincy Pondexter,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Jazz,,Jeremy Evans,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Jazz,,Kyrylo Fesenko,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Nets,,Joe Smith ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Nets,,Stephen Graham,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Nets,Quinton Ross,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Nets,Troy Murphy,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Nuggets,,Nene Hilario ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Pistons,,Richard Hamilton,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Pistons,,Will Bynum,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Rockets,,Jermaine Taylor,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Rockets,Kyle Lowry,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Spurs,,George Hill,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Spurs,Alonzo Gee,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Timberwolves,,Michael Beasley,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Timberwolves,Maurice Ager,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-03,Warriors,,Brandan Wright,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-04,Blazers,,Elliot Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-04,Blazers,Patty Mills,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-04,Knicks,,Shawne Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-04,Knicks,Anthony Randolph,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Bucks,,Andrew Bogut,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Grizzlies,,Hamed Haddadi,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Grizzlies,Zach Randolph,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Hawks,,Marvin Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Jazz,,Jeremy Evans,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Lakers,,Devin Ebanks,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Lakers,Luke Walton,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Nuggets,,Nene Hilario ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Timberwolves,,Maurice Ager,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Timberwolves,Michael Beasley,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Warriors,,Jeremy Lin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Warriors,Stephen Curry,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-05,Wizards,Gilbert Arenas,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Blazers,,Elliot Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Blazers,,Rudy Fernandez,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Heat,,Juwan Howard,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Heat,Jamaal Magloire,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Kings,Pooh Jeter,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Kings,Hassan Whiteside,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Magic,,Jameer Nelson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Magic,Malik Allen,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Nuggets,,Nene Hilario ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Raptors,,Sonny Weems,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Raptors,,Sonny Weems,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Raptors,Marcus Banks,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Rockets,,Kyle Lowry,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Rockets,,Yao Ming,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Rockets,Ish Smith,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Rockets,Jermaine Taylor,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-06,Spurs,George Hill,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-07,76ers,,Andre Iguodala,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-07,76ers,Jodie Meeks,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-07,Hawks,,Marvin Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-07,Rockets,,Aaron Brooks,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-07,Rockets,Yao Ming,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-07,Thunder,,Jeff Green,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-07,Thunder,Morris Peterson,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-07,Timberwolves,,Lazar Hayward,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-07,Timberwolves,Michael Beasley,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-07,Warriors,,Jeff Adrien,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-07,Warriors,Jeremy Lin,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-08,Hawks,,Marvin Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-08,Magic,,Mickael Pietrus,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-08,Raptors,,Joey Dorsey,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-08,Raptors,Sonny Weems,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-08,Spurs,,Garrett Temple,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-09,Bucks,,Carlos Delfino,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-09,Cavaliers,,Manny Harris,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-09,Cavaliers,Antawn Jamison,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-09,Clippers,,Eric Gordon,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-09,Clippers,Baron Davis,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-09,Lakers,,Derrick Caracter,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-09,Lakers,Devin Ebanks,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-09,Nets,,Terrence Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-09,Nets,Stephen Graham,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-09,Timberwolves,,Luke Ridnour,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-09,Timberwolves,Lazar Hayward,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-10,76ers,Craig Brackins,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-10,Bucks,,Carlos Delfino,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-10,Clippers,,Baron Davis,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-10,Clippers,,Chris Kaman,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-10,Hawks,,Marvin Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-11-10,Kings,,Pooh Jeter,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
